name,system,rating,genre,release_date,last_played,image_url
Pokemon Brilliant Diamond,Nintendo Switch,Good,RPG,2021-11-19,2021-11-19,https://images.igdb.com/igdb/image/upload/t_cover_big/co3b9t.jpg
Pokemon Colosseum,Nintendo GameCube,Good,RPG,2003-11-21,2003-11-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co2tpe.jpg
Pokemon Fire Red,Game Boy Advance,Good,RPG,2004-01-29,2004-01-29,https://images.igdb.com/igdb/image/upload/t_cover_big/co1ziq.jpg
Pokemon Legends Arceus,Nintendo Switch,Great,RPG,2022-01-28,2022-01-28,https://images.igdb.com/igdb/image/upload/t_cover_big/co3d03.jpg
Pokemon Let's go Pikachu,Nintendo Switch,Great,RPG,2018-11-16,2018-11-16,https://images.igdb.com/igdb/image/upload/t_cover_big/co1zjy.jpg
Pokemon Stadium,Nintendo 64,Good,Turn-based Strategy,1999-04-30,1999-04-30,https://images.igdb.com/igdb/image/upload/t_cover_big/co1yyd.jpg
Pokemon Violet,Nintendo Switch,Okay,RPG,2022-11-18,2022-11-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co5sfa.jpg
Pokemon XD Gale of Darkness,Nintendo GameCube,Good,RPG,2005-11-10,2005-11-10,https://images.igdb.com/igdb/image/upload/t_cover_big/co1zk4.jpg
Portal 2,Xbox 360,Great,Puzzle|Platform,2011-04-18,2011-04-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co1rs4.jpg
Portal,Nintendo Switch,Good,Puzzle|Platform,2007-10-10,2007-10-10,https://images.igdb.com/igdb/image/upload/t_cover_big/coay61.jpg
Rock Band - The Beatles,PS3,Good,Rhythm,2009-09-09,2009-09-09,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wqo.jpg
Sea of Stars,Nintendo Switch,Great,RPG,2023-08-29,2023-08-29,https://images.igdb.com/igdb/image/upload/t_cover_big/co215b.jpg
The Legend of Zelda: Skyward Sword,Nintendo Wii,Great,Action-Adventure,2011-11-18,2011-11-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wrj.jpg
Slay the Spire,PS4,Great,Roguelike|Deck-building,2019-05-21,2019-05-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co1iyf.jpg
Smushi Come Home,Nintendo Switch,Good,Platform,2023-06-10,2023-06-10,https://images.igdb.com/igdb/image/upload/t_cover_big/co6h9g.jpg
Spider Man - Miles Morales,PS4,Good,Action-Adventure,2020-11-12,2020-11-12,https://images.igdb.com/igdb/image/upload/t_cover_big/cob9yq.jpg
